F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.83414,0.7873,0.75889,0.95519,0.85704,0.87182,0.92594,0.84292
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.91457,0.90345,0.89619,0.95303,0.92461,0.92889,0.93371,0.92557
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.86644,0.83032,0.80787,0.95797,0.88292,0.89422,0.93417,0.87103
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.88393,0.86101,0.84638,0.94932,0.89785,0.9056,0.92498,0.89328
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.86018,0.83091,0.81247,0.94345,0.87796,0.88782,0.91384,0.87204
