F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.89562,0.87402,0.86019,0.95519,0.90769,0.91484,0.93409,0.90248
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.78369,0.71251,0.67183,0.96848,0.82015,0.84249,0.94025,0.7999
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.88705,0.86739,0.85475,0.94654,0.90064,0.90756,0.9219,0.89824
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.82618,0.78579,0.76099,0.94005,0.85052,0.864,0.90358,0.84196
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.89001,0.86566,0.85015,0.9555,0.90282,0.91076,0.93379,0.89623
