F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.83222,0.81924,0.8108,0.89833,0.85457,0.86116,0.85481,0.86544
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.71192,0.62917,0.58393,0.95828,0.7711,0.79929,0.91176,0.75726
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.86534,0.85768,0.85266,0.91286,0.88276,0.88729,0.8784,0.89353
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.88307,0.8909,0.89619,0.90142,0.89881,0.8992,0.87033,0.92164
F-1, F-B, SEN, SPE, BAC, ACC, PPV, NPV
0.82335,0.80189,0.7882,0.90667,0.84744,0.85636,0.86178,0.85291
